"","date","name","id","value"
"450",2013-06-30,"vnt","3",0.72
"451",2013-07-31,"vnt","3",-0.36
"452",2013-08-31,"vnt","3",-0.49
"453",2013-09-30,"vnt","3",0.79
"454",2013-10-31,"vnt","3",-0.25
"455",2013-11-30,"vnt","3",-0.37
"456",2013-12-31,"vnt","3",0.6
"457",2014-01-31,"vnt","3",0
"458",2014-02-28,"vnt","3",-0.59
"459",2014-03-31,"vnt","3",0.69
"460",2014-04-30,"vnt","3",-0.09
"461",2014-05-31,"vnt","3",-0.42
"462",2014-06-30,"vnt","3",0.52
"463",2014-07-31,"vnt","3",-0.31
"464",2014-08-31,"vnt","3",-0.31
"465",2014-09-30,"vnt","3",0.72
"466",2014-10-31,"vnt","3",-0.45
"467",2014-11-30,"vnt","3",-0.33
"468",2014-12-31,"vnt","3",0.77
"469",2015-01-31,"vnt","3",-0.13
"470",2015-02-28,"vnt","3",-0.56
"471",2015-03-31,"vnt","3",0.86
"472",2015-04-30,"vnt","3",-0.07
"473",2015-05-31,"vnt","3",-0.91
"474",2015-06-30,"vnt","3",0.79
"475",2015-07-31,"vnt","3",-0.09
"476",2015-08-31,"vnt","3",-0.64
"477",2015-09-30,"vnt","3",0.8
"478",2015-10-31,"vnt","3",-0.14
"479",2015-11-30,"vnt","3",-1.48
"480",2015-12-31,"vnt","3",1.62
"481",2016-01-31,"vnt","3",0.17
"482",2016-02-29,"vnt","3",-1.2
"483",2016-03-31,"vnt","3",1.16
"484",2016-04-30,"vnt","3",-0.16
"485",2016-05-31,"vnt","3",-1.18
"486",2016-06-30,"vnt","3",1.26
"487",2016-07-31,"vnt","3",-0.16
"488",2016-08-31,"vnt","3",-0.37
"489",2016-09-30,"vnt","3",0.56
"490",2016-10-31,"vnt","3",0.03
"491",2016-11-30,"vnt","3",-1.18
"492",2016-12-31,"vnt","3",1.1
"493",2017-01-31,"vnt","3",0.37
"494",2017-02-28,"vnt","3",-1.03
"495",2017-03-31,"vnt","3",0.97
"496",2017-04-30,"vnt","3",-0.27
"497",2017-05-31,"vnt","3",-0.52
"498",2017-06-30,"vnt","3",0.66
"499",2017-07-31,"vnt","3",-0.1
"500",2017-08-31,"vnt","3",-0.47
"501",2017-09-30,"vnt","3",0.73
"502",2017-10-31,"vnt","3",-0.21
"503",2017-11-30,"vnt","3",-0.72
"504",2017-12-31,"vnt","3",0.88
"505",2018-01-31,"vnt","3",-0.23
"506",2018-02-28,"vnt","3",-0.4
"507",2018-03-31,"vnt","3",0.85
"508",2018-04-30,"vnt","3",-0.35
"509",2018-05-31,"vnt","3",-0.29
"510",2018-06-30,"vnt","3",0.43
"511",2018-07-31,"vnt","3",0.1
"512",2018-08-31,"vnt","3",-0.66
"513",2018-09-30,"vnt","3",0.67
"514",2018-10-31,"vnt","3",-0.16
"515",2018-11-30,"vnt","3",-0.55
"516",2018-12-31,"vnt","3",0.7
"517",2019-01-31,"vnt","3",-0.17
"518",2019-02-28,"vnt","3",-0.63
"519",2019-03-31,"vnt","3",1.04
"520",2019-04-30,"vnt","3",-0.24
"521",2019-05-31,"vnt","3",-0.48
"522",2019-06-30,"vnt","3",0.53
"523",2019-07-31,"vnt","3",0.04
"524",2019-08-31,"vnt","3",-0.52
"525",2019-09-30,"vnt","3",0.67
"526",2019-10-31,"vnt","3",-0.39
"527",2019-11-30,"vnt","3",-0.57
"528",2019-12-31,"vnt","3",1.07
"529",2020-01-31,"vnt","3",-0.49
"530",2020-02-29,"vnt","3",-0.63
"531",2020-03-31,"vnt","3",1.17
"532",2020-04-30,"vnt","3",-0.7
"533",2020-05-31,"vnt","3",-0.19
"534",2020-06-30,"vnt","3",0.52
"535",2020-07-31,"vnt","3",-0.1
"536",2020-08-31,"vnt","3",-0.52
"537",2020-09-30,"vnt","3",0.61
"538",2020-10-31,"vnt","3",0.05
"539",2020-11-30,"vnt","3",-0.6
"540",2020-12-31,"vnt","3",0.82
"541",2021-01-31,"vnt","3",-0.23
"542",2021-02-28,"vnt","3",-0.54
"543",2021-03-31,"vnt","3",0.95
"544",2021-04-30,"vnt","3",-0.28
"545",2021-05-31,"vnt","3",-0.45
"546",2021-06-30,"vnt","3",0.52
"547",2021-07-31,"vnt","3",0
"548",2021-08-31,"vnt","3",-0.53
"549",2021-09-30,"vnt","3",0.64
"550",2021-10-31,"vnt","3",-0.41
"551",2021-11-30,"vnt","3",-0.1
"552",2021-12-31,"vnt","3",0.71
"553",2022-01-31,"vnt","3",-0.2
"554",2022-02-28,"vnt","3",-0.7
"555",2022-03-31,"vnt","3",1.06
"556",2022-04-30,"vnt","3",-0.73
"557",2022-05-31,"vnt","3",0.2
"558",2022-06-30,"vnt","3",0.32
"559",2022-07-31,"vnt","3",-0.66
"560",2022-08-31,"vnt","3",0.24
"561",2022-09-30,"vnt","3",0.48
"562",2022-10-31,"vnt","3",-0.34
"563",2022-11-30,"vnt","3",-0.03
"564",2022-12-31,"vnt","3",0.45
"565",2023-01-31,"vnt","3",-0.93
"566",2023-02-28,"vnt","3",0.65
"567",2023-03-31,"vnt","3",0.29
"568",2023-04-30,"vnt","3",-0.42
"569",2023-05-31,"vnt","3",0.04
"570",2023-06-30,"vnt","3",0.33
"571",2023-07-31,"vnt","3",-0.51
"572",2023-08-31,"vnt","3",0.21
"573",2023-09-30,"vnt","3",0.39
"574",2023-10-31,"vnt","3",-0.58
"575",2023-11-30,"vnt","3",0.15
"576",2023-12-31,"vnt","3",0.52
"577",2008-01-31,"imp","4",-0.53
"578",2008-02-29,"imp","4",0.31
"579",2008-03-31,"imp","4",0.11
"580",2008-04-30,"imp","4",0.12
"581",2008-05-31,"imp","4",-0.02
"582",2008-06-30,"imp","4",-0.01
"583",2008-07-31,"imp","4",0.16
"584",2008-08-31,"imp","4",-0.09
"585",2008-09-30,"imp","4",0.07
"586",2008-10-31,"imp","4",0.05
"587",2008-11-30,"imp","4",-0.27
"588",2008-12-31,"imp","4",0.19
"589",2009-01-31,"imp","4",-0.89
"590",2009-02-28,"imp","4",0.47
"591",2009-03-31,"imp","4",0.13
"592",2009-04-30,"imp","4",-0.1
"593",2009-05-31,"imp","4",-0.11
"594",2009-06-30,"imp","4",0.05
"595",2009-07-31,"imp","4",0.07
"596",2009-08-31,"imp","4",-0.05
"597",2009-09-30,"imp","4",0.13
"598",2009-10-31,"imp","4",0.02
"599",2009-11-30,"imp","4",-0.01
"600",2009-12-31,"imp","4",0.2
"601",2010-01-31,"imp","4",-0.73
"602",2010-02-28,"imp","4",0.37
"603",2010-03-31,"imp","4",0.22
"604",2010-04-30,"imp","4",-0.01
"605",2010-05-31,"imp","4",0.06
"606",2010-06-30,"imp","4",0.08
"607",2010-07-31,"imp","4",0.01
"608",2010-08-31,"imp","4",0.12
"609",2010-09-30,"imp","4",-0.33
"610",2010-10-31,"imp","4",-0.05
"611",2010-11-30,"imp","4",0.08
"612",2010-12-31,"imp","4",0.09
"613",2011-01-31,"imp","4",-0.31
"614",2011-02-28,"imp","4",0.4
"615",2011-03-31,"imp","4",0.25
"616",2011-04-30,"imp","4",-0.05
"617",2011-05-31,"imp","4",0.01
"618",2011-06-30,"imp","4",-0.03
"619",2011-07-31,"imp","4",0.01
"620",2011-08-31,"imp","4",0.13
"621",2011-09-30,"imp","4",-0.02
"622",2011-10-31,"imp","4",0.05
"623",2011-11-30,"imp","4",0.08
"624",2011-12-31,"imp","4",0.01
"625",2012-01-31,"imp","4",-0.52
"626",2012-02-29,"imp","4",0.25
"627",2012-03-31,"imp","4",0.12
"628",2012-04-30,"imp","4",-0.06
"629",2012-05-31,"imp","4",0.11
"630",2012-06-30,"imp","4",0.01
"631",2012-07-31,"imp","4",0.07
"632",2012-08-31,"imp","4",0.03
"633",2012-09-30,"imp","4",-0.2
"634",2012-10-31,"imp","4",0.14
"635",2012-11-30,"imp","4",-0.05
"636",2012-12-31,"imp","4",0.03
"637",2013-01-31,"imp","4",-0.43
"638",2013-02-28,"imp","4",0.25
"639",2013-03-31,"imp","4",0.07
"640",2013-04-30,"imp","4",0.09
"641",2013-05-31,"imp","4",-0.11
"642",2013-06-30,"imp","4",0.01
"643",2013-07-31,"imp","4",0.14
"644",2013-08-31,"imp","4",-0.06
"645",2013-09-30,"imp","4",-0.02
"646",2013-10-31,"imp","4",0.08
"647",2013-11-30,"imp","4",-0.07
"648",2013-12-31,"imp","4",0.11
"649",2014-01-31,"imp","4",-0.44
"650",2014-02-28,"imp","4",0.24
"651",2014-03-31,"imp","4",0.08
"652",2014-04-30,"imp","4",0.07
"653",2014-05-31,"imp","4",-0.11
"654",2014-06-30,"imp","4",-0.04
"655",2014-07-31,"imp","4",0.13
"656",2014-08-31,"imp","4",-0.11
"657",2014-09-30,"imp","4",0.09
"658",2014-10-31,"imp","4",0.09
"659",2014-11-30,"imp","4",-0.1
"660",2014-12-31,"imp","4",0.34
"661",2015-01-31,"imp","4",-0.69
"662",2015-02-28,"imp","4",0.3
"663",2015-03-31,"imp","4",0.08
"664",2015-04-30,"imp","4",-0.16
