"","date","name","value","id"
"243",2012-01-31,"ngz",530.2,"2"
"244",2012-02-29,"ngz",485.6,"2"
"245",2012-03-31,"ngz",529.1,"2"
"246",2012-04-30,"ngz",559.9,"2"
"247",2012-05-31,"ngz",583.3,"2"
"248",2012-06-30,"ngz",538,"2"
"249",2012-07-31,"ngz",508.4,"2"
"250",2012-08-31,"ngz",490.5,"2"
"251",2012-09-30,"ngz",514.7,"2"
"252",2012-10-31,"ngz",536.5,"2"
"253",2012-11-30,"ngz",566.3,"2"
"254",2012-12-31,"ngz",610.7,"2"
"255",2013-01-31,"ngz",465.9,"2"
"256",2013-02-28,"ngz",510.8,"2"
"257",2013-03-31,"ngz",527,"2"
"258",2013-04-30,"ngz",583.9,"2"
"259",2013-05-31,"ngz",523.7,"2"
"260",2013-06-30,"ngz",487.8,"2"
"261",2013-07-31,"ngz",536.6,"2"
"262",2013-08-31,"ngz",544.9,"2"
"263",2013-09-30,"ngz",593.6,"2"
"264",2013-10-31,"ngz",585.4,"2"
"265",2013-11-30,"ngz",581.1,"2"
"266",2013-12-31,"ngz",593.3,"2"
"267",2014-01-31,"ngz",615,"2"
"268",2014-02-28,"ngz",618.8,"2"
"269",2014-03-31,"ngz",592.9,"2"
"270",2014-04-30,"ngz",690,"2"
"271",2014-05-31,"ngz",632,"2"
"272",2014-06-30,"ngz",554.7,"2"
"273",2014-07-31,"ngz",610.5,"2"
"274",2014-08-31,"ngz",573.4,"2"
"275",2014-09-30,"ngz",607.4,"2"
"276",2014-10-31,"ngz",618.4,"2"
"277",2014-11-30,"ngz",605.7,"2"
"278",2014-12-31,"ngz",715,"2"
"279",2015-01-31,"ngz",520.8,"2"
"280",2015-02-28,"ngz",525.5,"2"
"281",2015-03-31,"ngz",499.3,"2"
"282",2015-04-30,"ngz",472.9,"2"
"283",2015-05-31,"ngz",452.9,"2"
"284",2015-06-30,"ngz",504.6,"2"
"285",2015-07-31,"ngz",529.1,"2"
"286",2015-08-31,"ngz",528.1,"2"
"287",2015-09-30,"ngz",478.4,"2"
"288",2015-10-31,"ngz",459.5,"2"
"289",2015-11-30,"ngz",439.9,"2"
"290",2015-12-31,"ngz",451.7,"2"
"291",2016-01-31,"ngz",371.1,"2"
"292",2016-02-29,"ngz",316.6,"2"
"293",2016-03-31,"ngz",304.5,"2"
"294",2016-04-30,"ngz",326.3,"2"
"295",2016-05-31,"ngz",364.4,"2"
"296",2016-06-30,"ngz",425.3,"2"
"297",2016-07-31,"ngz",445.4,"2"
"298",2016-08-31,"ngz",440.1,"2"
"299",2016-09-30,"ngz",425.7,"2"
"300",2016-10-31,"ngz",434.2,"2"
"301",2016-11-30,"ngz",496.4,"2"
"302",2016-12-31,"ngz",494,"2"
"303",2017-01-31,"ngz",485.1,"2"
"304",2017-02-28,"ngz",529.8,"2"
"305",2017-03-31,"ngz",503,"2"
"306",2017-04-30,"ngz",456.3,"2"
"307",2017-05-31,"ngz",465.8,"2"
"308",2017-06-30,"ngz",448.6,"2"
"309",2017-07-31,"ngz",416,"2"
"310",2017-08-31,"ngz",449.3,"2"
"311",2017-09-30,"ngz",492.3,"2"
"312",2017-10-31,"ngz",518.7,"2"
"313",2017-11-30,"ngz",569.9,"2"
"314",2017-12-31,"ngz",637.1,"2"
"315",2018-01-31,"ngz",661.3,"2"
"316",2018-02-28,"ngz",628.3,"2"
"317",2018-03-31,"ngz",570.1,"2"
"318",2018-04-30,"ngz",630.6,"2"
"319",2018-05-31,"ngz",684.6,"2"
"320",2018-06-30,"ngz",760.1,"2"
"321",2018-07-31,"ngz",749.3,"2"
"322",2018-08-31,"ngz",817.5,"2"
"323",2018-09-30,"ngz",800.3,"2"
"324",2018-10-31,"ngz",920,"2"
"325",2018-11-30,"ngz",959.5,"2"
"326",2018-12-31,"ngz",836.2,"2"
"327",2019-01-31,"ngz",680.8,"2"
"328",2019-02-28,"ngz",686.6,"2"
"329",2019-03-31,"ngz",626,"2"
"330",2019-04-30,"ngz",729.2,"2"
"331",2019-05-31,"ngz",697.7,"2"
"332",2019-06-30,"ngz",701.6,"2"
"333",2019-07-31,"ngz",661,"2"
"334",2019-08-31,"ngz",624.6,"2"
"335",2019-09-30,"ngz",600.5,"2"
"336",2019-10-31,"ngz",668.7,"2"
"337",2019-11-30,"ngz",588.7,"2"
"338",2019-12-31,"ngz",658.9,"2"
"339",2020-01-31,"ngz",615.9,"2"
"340",2020-02-29,"ngz",608.4,"2"
"341",2020-03-31,"ngz",563.6,"2"
"342",2020-04-30,"ngz",434.6,"2"
"343",2020-05-31,"ngz",214.2,"2"
"344",2020-06-30,"ngz",224.3,"2"
"345",2020-07-31,"ngz",341.1,"2"
"346",2020-08-31,"ngz",404.9,"2"
"347",2020-09-30,"ngz",447,"2"
"348",2020-10-31,"ngz",474.5,"2"
"349",2020-11-30,"ngz",453.8,"2"
"350",2020-12-31,"ngz",452.9,"2"
"351",2021-01-31,"ngz",490.8,"2"
"352",2021-02-28,"ngz",544.9,"2"
"353",2021-03-31,"ngz",582.3,"2"
"354",2021-04-30,"ngz",893.41,"2"
"355",2021-05-31,"ngz",617.59,"2"
"356",2021-06-30,"ngz",647,"2"
"357",2021-07-31,"ngz",994.02,"2"
"358",2021-08-31,"ngz",695.9,"2"
"359",2021-09-30,"ngz",718.9,"2"
"360",2021-10-31,"ngz",1107.9,"2"
"361",2021-11-30,"ngz",884.7,"2"
"362",2021-12-31,"ngz",879.1,"2"
"363",2022-01-31,"ngz",794.5,"2"
"364",2022-02-28,"ngz",971.7,"2"
"365",2022-03-31,"ngz",1208.1,"2"
